run,elapsed_ms
1,11343
2,9820
3,9654
4,9661
5,9655
6,9734
7,9685
8,9812
9,9720
10,9686
11,9521
12,9608
13,9616
14,9630
15,9851
16,9838
17,9729
18,9668
19,9734
20,9712
21,9815
22,9744
23,9802
24,9883
25,9709
26,9720
27,9824
28,9774
29,9847
30,9723
