run,elapsed_ms
1,4125
2,4089
3,4117
4,4218
5,4177
6,4168
7,4168
8,4160
9,4179
10,4159
11,4100
12,4155
13,4178
14,4200
15,4121
16,4156
17,4117
18,4236
19,4142
20,4153
21,4216
22,4121
23,4142
24,4099
25,4151
26,4122
27,4181
28,4171
29,4209
30,4188
