run,elapsed_ms
1,15171
2,15186
3,15053
4,15198
5,15015
6,15166
7,15046
8,14961
9,15100
10,15158
11,15078
12,15069
13,15142
14,14980
15,15065
16,15115
17,15009
18,15165
19,15093
20,15169
21,15042
22,15163
23,15193
24,15041
25,15088
26,15151
27,15035
28,15139
29,15090
30,15117
