Label,SM_Clock_Req,SM_Clock_Actual,MEM_Clock_Req,MEM_Clock_Actual,Avg_Time_ms,Std_Dev_ms,Min_ms,Max_ms
SM_300MHz,300,300,,405,17.0709,0.0049,17.0650,17.0792
SM_900MHz,900,900,,6000,2.9184,0.0072,2.9133,2.9330
SM_1500MHz,1500,1500,,6000,1.7610,0.0032,1.7588,1.7699
