Iteration,Metric_Name,Metric_Value,Metric_Unit
7,lts__t_bytes.min,34 944,byte
7,lts__t_request_hit_rate.ratio,046,
7,lts__t_requests.max,284,request
7,lts__t_requests.min,281,request
7,lts__t_requests.sum,1 128,request
7,lts__t_sector_hit_rate.pct,4994,%
7,lts__t_sectors.avg.pct_of_peak_sustained_elapsed,000,%
7,lts__t_sectors_aperture_sysmem_op_read.sum.per_second,2 62817,sector/s
7,lts__t_sectors_op_read.sum.per_second,2 62817,sector/s
7,lts__t_sectors_op_write.sum.per_second,2 44434,sector/s
7,smsp__cycles_active.avg.pct_of_peak_sustained_elapsed,9995,%
7,smsp__inst_executed_op_global_ld.sum,512,inst
7,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,000,%
7,smsp__warp_issue_stalled_dispatch_stall_per_warp_active.pct,346,%
7,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,000,%
7,smsp__warp_issue_stalled_misc_per_warp_active.pct,000,%
8,l1tex__t_bytes_pipe_lsu_mem_global_op_st.sum.per_second,77 68348,byte/s
8,lts__t_bytes.min,34 816,byte
8,lts__t_request_hit_rate.ratio,046,
8,lts__t_requests.max,289,request
8,lts__t_requests.min,278,request
8,lts__t_requests.sum,1 128,request
8,lts__t_sector_hit_rate.pct,4994,%
8,lts__t_sectors.avg.pct_of_peak_sustained_elapsed,000,%
8,lts__t_sectors_aperture_sysmem_op_read.sum.per_second,2 62675,sector/s
8,lts__t_sectors_op_read.sum.per_second,2 62675,sector/s
8,lts__t_sectors_op_write.sum.per_second,2 44302,sector/s
8,smsp__cycles_active.avg.pct_of_peak_sustained_elapsed,9992,%
8,smsp__inst_executed_op_global_ld.sum,512,inst
8,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,000,%
8,smsp__warp_issue_stalled_dispatch_stall_per_warp_active.pct,346,%
8,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,000,%
8,smsp__warp_issue_stalled_misc_per_warp_active.pct,000,%
9,l1tex__t_bytes_pipe_lsu_mem_global_op_st.sum.per_second,77 68925,byte/s
9,lts__t_bytes.min,35 072,byte
9,lts__t_request_hit_rate.ratio,046,
9,lts__t_requests.max,283,request
9,lts__t_requests.min,280,request
9,lts__t_requests.sum,1 128,request
9,lts__t_sector_hit_rate.pct,4994,%
9,lts__t_sectors.avg.pct_of_peak_sustained_elapsed,000,%
9,lts__t_sectors_aperture_sysmem_op_read.sum.per_second,2 62694,sector/s
9,lts__t_sectors_op_read.sum.per_second,2 62694,sector/s
9,lts__t_sectors_op_write.sum.per_second,2 44320,sector/s
9,smsp__cycles_active.avg.pct_of_peak_sustained_elapsed,9992,%
9,smsp__inst_executed_op_global_ld.sum,512,inst
9,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,000,%
9,smsp__warp_issue_stalled_dispatch_stall_per_warp_active.pct,346,%
9,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,000,%
9,smsp__warp_issue_stalled_misc_per_warp_active.pct,000,%
10,l1tex__t_bytes_pipe_lsu_mem_global_op_st.sum.per_second,77 68144,byte/s
10,lts__t_bytes.min,35 072,byte
10,lts__t_request_hit_rate.ratio,046,
10,lts__t_requests.max,285,request
10,lts__t_requests.min,280,request
10,lts__t_requests.sum,1 128,request
10,lts__t_sector_hit_rate.pct,4994,%
10,lts__t_sectors.avg.pct_of_peak_sustained_elapsed,000,%
10,lts__t_sectors_aperture_sysmem_op_read.sum.per_second,2 62668,sector/s
10,lts__t_sectors_op_read.sum.per_second,2 62668,sector/s
10,lts__t_sectors_op_write.sum.per_second,2 44295,sector/s
10,smsp__cycles_active.avg.pct_of_peak_sustained_elapsed,9989,%
10,smsp__inst_executed_op_global_ld.sum,512,inst
10,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,000,%
10,smsp__warp_issue_stalled_dispatch_stall_per_warp_active.pct,346,%
10,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,000,%
10,smsp__warp_issue_stalled_misc_per_warp_active.pct,000,%
11,l1tex__t_bytes_pipe_lsu_mem_global_op_st.sum.per_second,77 70194,byte/s
11,lts__t_bytes.min,34 816,byte
11,lts__t_request_hit_rate.ratio,046,
11,lts__t_requests.max,288,request
11,lts__t_requests.min,278,request
11,lts__t_requests.sum,1 128,request
11,lts__t_sector_hit_rate.pct,4994,%
11,lts__t_sectors.avg.pct_of_peak_sustained_elapsed,000,%
11,lts__t_sectors_aperture_sysmem_op_read.sum.per_second,2 62737,sector/s
11,lts__t_sectors_op_read.sum.per_second,2 62737,sector/s
11,lts__t_sectors_op_write.sum.per_second,2 44360,sector/s
11,smsp__cycles_active.avg.pct_of_peak_sustained_elapsed,9994,%
11,smsp__inst_executed_op_global_ld.sum,512,inst
11,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,000,%
11,smsp__warp_issue_stalled_dispatch_stall_per_warp_active.pct,346,%
11,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,000,%
11,smsp__warp_issue_stalled_misc_per_warp_active.pct,000,%
12,l1tex__t_bytes_pipe_lsu_mem_global_op_st.sum.per_second,77 71749,byte/s
12,lts__t_bytes.min,34 816,byte
12,lts__t_request_hit_rate.ratio,046,
12,lts__t_requests.max,287,request
12,lts__t_requests.min,278,request
12,lts__t_requests.sum,1 128,request
12,lts__t_sector_hit_rate.pct,4994,%
12,lts__t_sectors.avg.pct_of_peak_sustained_elapsed,000,%
12,lts__t_sectors_aperture_sysmem_op_read.sum.per_second,2 62790,sector/s
12,lts__t_sectors_op_read.sum.per_second,2 62790,sector/s
12,lts__t_sectors_op_write.sum.per_second,2 44409,sector/s
12,smsp__cycles_active.avg.pct_of_peak_sustained_elapsed,9988,%
12,smsp__inst_executed_op_global_ld.sum,512,inst
12,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,000,%
12,smsp__warp_issue_stalled_dispatch_stall_per_warp_active.pct,346,%
12,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,000,%
12,smsp__warp_issue_stalled_misc_per_warp_active.pct,000,%
13,l1tex__t_bytes_pipe_lsu_mem_global_op_st.sum.per_second,77 71163,byte/s
13,lts__t_bytes.min,35 072,byte
13,lts__t_request_hit_rate.ratio,046,
13,lts__t_requests.max,285,request
13,lts__t_requests.min,280,request
13,lts__t_requests.sum,1 128,request
