Iteration,l1tex__t_bytes_pipe_lsu_mem_global_op_st.sum.per_second,lts__t_bytes.min,lts__t_request_hit_rate.ratio,lts__t_requests.max,lts__t_requests.min,lts__t_requests.sum,lts__t_sector_hit_rate.pct,lts__t_sectors.avg.pct_of_peak_sustained_elapsed,lts__t_sectors_aperture_sysmem_op_read.sum.per_second,lts__t_sectors_op_read.sum.per_second,lts__t_sectors_op_write.sum.per_second,smsp__cycles_active.avg.pct_of_peak_sustained_elapsed,smsp__inst_executed_op_global_ld.sum,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,smsp__warp_issue_stalled_dispatch_stall_per_warp_active.pct,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,smsp__warp_issue_stalled_misc_per_warp_active.pct
1,77 69805,34 816,046,288,278,1 128,4994,000,2 62724,2 62724,2 44348,9986,512,000,346,000,000
2,77 67685,35 072,046,285,280,1 128,4994,000,2 62652,2 62652,2 44281,9994,512,000,346,000,000
3,77 68692,34 816,046,287,278,1 128,4994,000,2 62686,2 62686,2 44313,9988,512,000,346,000,000
4,77 68331,34 816,046,288,278,1 128,4994,000,2 62674,2 62674,2 44301,9992,512,000,346,000,000
5,77 69944,35 072,046,284,280,1 128,4994,000,2 62729,2 62729,2 44352,9994,512,000,346,000,000
6,77 68665,34 848,046,286,279,1 128,4994,000,2 62686,2 62686,2 44312,9989,512,000,346,000,000
7,77 72550,34 944,046,284,281,1 128,4994,000,2 62817,2 62817,2 44434,9995,512,000,346,000,000
8,77 68348,34 816,046,289,278,1 128,4994,000,2 62675,2 62675,2 44302,9992,512,000,346,000,000
9,77 68925,35 072,046,283,280,1 128,4994,000,2 62694,2 62694,2 44320,9992,512,000,346,000,000
10,77 68144,35 072,046,285,280,1 128,4994,000,2 62668,2 62668,2 44295,9989,512,000,346,000,000
11,77 70194,34 816,046,288,278,1 128,4994,000,2 62737,2 62737,2 44360,9994,512,000,346,000,000
12,77 71749,34 816,046,287,278,1 128,4994,000,2 62790,2 62790,2 44409,9988,512,000,346,000,000
13,77 71163,35 072,046,285,280,1 128,4994,000,2 62770,2 62770,2 44390,9992,512,000,346,000,000
14,77 71432,35 072,046,285,280,1 128,4994,000,2 62779,2 62779,2 44399,9994,512,000,346,000,000
15,77 71719,34 816,046,289,278,1 128,4994,000,2 62789,2 62789,2 44408,9991,512,000,346,000,000
16,77 68189,35 072,046,283,280,1 128,4994,000,2 62669,2 62669,2 44297,9994,512,000,346,000,000
17,77 72428,35 072,046,284,280,1 128,4994,000,2 62813,2 62813,2 44430,9992,512,000,346,000,000
18,77 67424,35 072,046,285,280,1 128,4994,000,2 62644,2 62644,2 44273,9990,512,000,346,000,000
19,77 69904,34 816,046,285,278,1 128,4994,000,2 62727,2 62727,2 44351,9993,512,000,346,000,000
20,77 73802,35 072,046,286,280,1 128,4994,000,2 62859,2 62859,2 44473,9991,512,000,346,000,000
21,77 68369,35 072,046,285,280,1 128,4994,000,2 62676,2 62676,2 44303,9991,512,000,346,000,000
22,77 70829,35 072,046,285,280,1 128,4994,000,2 62759,2 62759,2 44380,9989,512,000,346,000,000
23,77 71168,35 072,046,287,280,1 128,4994,000,2 62770,2 62770,2 44391,9985,512,000,346,000,000
24,77 70594,34 816,046,287,278,1 128,4994,000,2 62751,2 62751,2 44372,9992,512,000,346,000,000
25,77 72023,35 072,046,285,280,1 128,4994,000,2 62799,2 62799,2 44417,9994,512,000,346,000,000
26,77 72181,34 944,046,284,281,1 128,4994,000,2 62804,2 62804,2 44422,9990,512,000,346,000,000
27,77 68640,34 816,046,287,278,1 128,4994,000,2 62685,2 62685,2 44311,9988,512,000,346,000,000
28,77 69986,34 816,046,285,278,1 128,4994,000,2 62730,2 62730,2 44353,9992,512,000,346,000,000
29,77 71638,35 072,046,285,280,1 128,4994,000,2 62786,2 62786,2 44405,9994,512,000,346,000,000
30,77 72259,35 072,046,284,280,1 128,4994,000,2 62807,2 62807,2 44425,9988,512,000,346,000,000
31,77 71806,35 072,046,284,280,1 128,4994,000,2 62792,2 62792,2 44411,9994,512,000,346,000,000
32,77 69169,35 072,046,284,280,1 128,4994,000,2 62703,2 62703,2 44328,9995,512,000,346,000,000
33,77 69540,34 944,046,284,280,1 128,4994,000,2 62715,2 62715,2 44339,9989,512,000,346,000,000
34,77 71185,35 072,046,285,280,1 128,4994,000,2 62771,2 62771,2 44391,9993,512,000,346,000,000
35,77 69163,35 072,046,284,280,1 128,4994,000,2 62702,2 62702,2 44327,9993,512,000,346,000,000
36,77 70302,34 976,046,284,280,1 128,4994,000,2 62741,2 62741,2 44363,9989,512,000,346,000,000
37,77 70037,35 104,046,283,281,1 128,4994,000,2 62732,2 62732,2 44355,9994,512,000,346,000,000
38,77 67076,34 816,046,284,278,1 128,4994,000,2 62632,2 62632,2 44262,9992,512,000,346,000,000
39,77 66276,34 848,046,285,279,1 128,4994,000,2 62605,2 62605,2 44237,9995,512,000,346,000,000
40,77 65842,34 816,046,288,278,1 128,4994,000,2 62590,2 62590,2 44223,9995,512,000,346,000,000
41,77 68165,34 816,046,287,278,1 128,4994,000,2 62669,2 62669,2 44296,9994,512,000,346,000,000
42,77 68620,35 072,046,283,280,1 128,4994,000,2 62684,2 62684,2 44310,9992,512,000,346,000,000
43,77 65349,34 848,046,285,279,1 128,4994,000,2 62573,2 62573,2 44208,9993,512,000,346,000,000
44,77 67551,35 104,046,283,281,1 128,4994,000,2 62648,2 62648,2 44277,9987,512,000,346,000,000
45,77 67076,35 072,046,283,280,1 128,4994,000,2 62632,2 62632,2 44262,9992,512,000,346,000,000
46,77 66446,35 072,046,286,280,1 128,4994,000,2 62611,2 62611,2 44242,9992,512,000,346,000,000
47,77 65677,34 816,046,287,278,1 128,4994,000,2 62585,2 62585,2 44218,9990,512,000,346,000,000
48,77 65696,35 072,046,283,280,1 128,4994,000,2 62585,2 62585,2 44218,9986,512,000,346,000,000
49,77 63718,35 072,046,283,280,1 128,4994,000,2 62518,2 62518,2 44156,9990,512,000,346,000,000
50,77 65792,34 944,046,285,280,1 128,4994,000,2 62588,2 62588,2 44221,9992,512,000,346,000,000
